,TimeStamp,Rating,Rating Deviation,Year
2189,2014-01-03,1962.7022814106601,55.898114282279934,2014
2190,2014-01-10,1962.7022814106601,56.00805064158011,2014
2191,2014-01-14,1965.6914962348465,55.72073096286862,2014
2192,2014-01-24,1957.8872342152024,55.14944711577883,2014
2193,2014-01-31,1960.310195358451,54.93315477020948,2014
2194,2014-02-04,1947.639947050578,54.545930570926345,2014
2195,2014-02-14,1943.1809904661973,53.71509427808813,2014
2196,2014-02-21,1943.1809904661973,53.829490561006295,2014
2197,2014-02-25,1946.431401829488,53.543305924325274,2014
2198,2014-03-07,1946.431401829488,53.658068551743845,2014
2199,2014-03-12,1950.890657062349,53.27688451914432,2014
2200,2014-03-21,1940.6359313324783,52.83830545836532,2014
2201,2014-03-26,1936.818718993625,51.910644372312696,2014
2202,2014-04-04,1939.6644571664863,51.68556162680195,2014
2203,2014-04-11,1944.6758374794608,51.31041811005723,2014
2204,2014-04-18,1944.6758374794608,51.430164761198455,2014
2205,2014-04-25,1937.1929911296684,51.00409636876995,2014
2206,2014-04-29,1939.5054712966496,50.84014132228675,2014
2207,2014-05-07,1929.4825485158156,50.41312416584731,2014
2208,2014-05-11,1927.2296395583783,50.07051592688947,2014
2209,2014-08-08,1927.2296395583783,65.30712556626563,2014
2210,2014-08-10,1927.2296395583783,65.40124127682193,2014
2211,2014-08-20,1908.2570878504364,64.79190280108304,2014
2212,2014-08-25,1903.489487581317,64.00131367127781,2014
2213,2014-09-05,1898.5536248116787,63.2606263971804,2014
2214,2014-09-08,1898.5536248116787,63.35778390337142,2014
2215,2014-09-17,1902.430495522468,62.876924841123035,2014
2216,2014-09-22,1888.3498561193333,62.07875725626199,2014
2217,2014-10-03,1893.3284779222681,61.50217121258847,2014
2218,2014-10-05,1901.710178728571,60.722009452626125,2014
2219,2014-10-17,1901.710178728571,60.823224213543696,2014
2220,2014-10-24,1898.089023974568,60.147018915398476,2014
2221,2014-10-31,1899.5172649664448,59.410519225552285,2014
2222,2014-11-07,1893.1847864120716,58.78877781640867,2014
2223,2014-11-14,1896.7894773369312,58.40221867434764,2014
2224,2014-11-21,1896.7894773369312,58.507448369249204,2014
2225,2014-11-28,1908.2962207229532,57.85743372646926,2014
2226,2014-12-05,1915.7258127014074,56.9889525053984,2014
2227,2014-12-12,1923.1178199196145,56.38589998046632,2014
2228,2014-12-19,1929.638564985372,55.83180217246904,2014
2229,2014-12-26,1930.0621670861076,54.884721484569404,2014
